type,created_at,updated_at,token_id,collection_addr,user_addr,in_settlement,src,image_data,external_url,description,name,traits,raw_traits,background_color,animation_url,youtube_url,kind,last_trade_price,likes_count,price,bid,accepting_counters,listing_time,slug,burned,rarity
Item,2022-01-12 13:26:46+00:00,2022-01-17 15:32:22+00:00,400,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el,terra104j2c5ryder0xjcf5f708m07wvf65vxevzqukj,False,https://cloudflare-ipfs.com/ipfs/QmNndv4SCJcmXnxr7ZFSHC4hHFVTrRRzZvLKDSXFdumwUD,,,Free Martians Faction Talisman of the Levana Dragons adventure.,Talisman: Free Martians Faction,"{'Role': 'Member', 'Type': 'Faction Talisman', 'Faction': 'Free Martians', 'Dragon ID': '3799', 'Issue Date': '2472-01-12'}","[{'value': 'Faction Talisman', 'trait_type': 'Type'}, {'value': 'Free Martians', 'trait_type': 'Faction'}, {'value': 'Member', 'trait_type': 'Role'}, {'value': '3799', 'trait_type': 'Dragon ID'}, {'value': '2472-01-12', 'trait_type': 'Issue Date'}]",,,,image,,,,,,,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el_400,False,7.488179706445264
Item,2022-01-12 12:15:14+00:00,2022-01-17 15:32:22+00:00,40,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el,terra13hsapde2sc3hulfn6jd4exhkh7p98ck3mxns8j,False,https://cloudflare-ipfs.com/ipfs/QmXwFGboE6phxumEz9C6Wga618Ca2arNGaoJWY7QNg1wXy,,,Terrans Faction Talisman of the Levana Dragons adventure.,Talisman: Terrans Faction,"{'Role': 'Member', 'Type': 'Faction Talisman', 'Faction': 'Terrans', 'Dragon ID': '4205', 'Issue Date': '2472-01-12'}","[{'value': 'Faction Talisman', 'trait_type': 'Type'}, {'value': 'Terrans', 'trait_type': 'Faction'}, {'value': 'Member', 'trait_type': 'Role'}, {'value': '4205', 'trait_type': 'Dragon ID'}, {'value': '2472-01-12', 'trait_type': 'Issue Date'}]",,,,image,,,,,,,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el_40,False,6.948777392052946
Item,2022-01-12 10:33:08+00:00,2022-01-17 15:32:22+00:00,4,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el,terra1utqgw6hghmvegxxhaycegvgfk3crxy0dpd6jfd,False,https://cloudflare-ipfs.com/ipfs/QmYW6p9r6XTRyZomnJJi2VfYEj9TJbnFt7P8PFGiZ71hve,,,Guardians Faction Talisman of the Levana Dragons adventure.,Talisman: Guardians Faction,"{'Role': 'Member', 'Type': 'Faction Talisman', 'Faction': 'Guardians', 'Dragon ID': '2626', 'Issue Date': '2472-01-12'}","[{'value': 'Faction Talisman', 'trait_type': 'Type'}, {'value': 'Guardians', 'trait_type': 'Faction'}, {'value': 'Member', 'trait_type': 'Role'}, {'value': '2626', 'trait_type': 'Dragon ID'}, {'value': '2472-01-12', 'trait_type': 'Issue Date'}]",,,,image,,,,,,,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el_4,False,9.293672361364193
Item,2022-01-15 19:07:54+00:00,2022-01-17 15:32:22+00:00,3998,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el,terra1mk23ra54t7jleyjs4fpzs0enckk9ccnheyaz8a,False,https://cloudflare-ipfs.com/ipfs/QmXwFGboE6phxumEz9C6Wga618Ca2arNGaoJWY7QNg1wXy,,,Terrans Faction Talisman of the Levana Dragons adventure.,Talisman: Terrans Faction,"{'Role': 'Member', 'Type': 'Faction Talisman', 'Faction': 'Terrans', 'Dragon ID': '7320', 'Issue Date': '2472-01-15'}","[{'value': 'Faction Talisman', 'trait_type': 'Type'}, {'value': 'Terrans', 'trait_type': 'Faction'}, {'value': 'Member', 'trait_type': 'Role'}, {'value': '7320', 'trait_type': 'Dragon ID'}, {'value': '2472-01-15', 'trait_type': 'Issue Date'}]",,,,image,,,,,,,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el_3998,False,22.06326494819136
Item,2022-01-15 19:06:36+00:00,2022-01-17 15:32:22+00:00,3997,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el,terra19tada2qnteac6hqnc75yrr2s5e73feyfddcsgf,False,https://cloudflare-ipfs.com/ipfs/QmNndv4SCJcmXnxr7ZFSHC4hHFVTrRRzZvLKDSXFdumwUD,,,Free Martians Faction Talisman of the Levana Dragons adventure.,Talisman: Free Martians Faction,"{'Role': 'Member', 'Type': 'Faction Talisman', 'Faction': 'Free Martians', 'Dragon ID': '839', 'Issue Date': '2472-01-15'}","[{'value': 'Faction Talisman', 'trait_type': 'Type'}, {'value': 'Free Martians', 'trait_type': 'Faction'}, {'value': 'Member', 'trait_type': 'Role'}, {'value': '839', 'trait_type': 'Dragon ID'}, {'value': '2472-01-15', 'trait_type': 'Issue Date'}]",,,,image,,,,,,,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el_3997,False,22.602667262583672
Item,2022-01-15 18:59:18+00:00,2022-01-17 15:32:22+00:00,3996,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el,terra19tada2qnteac6hqnc75yrr2s5e73feyfddcsgf,False,https://cloudflare-ipfs.com/ipfs/QmYW6p9r6XTRyZomnJJi2VfYEj9TJbnFt7P8PFGiZ71hve,,,Guardians Faction Talisman of the Levana Dragons adventure.,Talisman: Guardians Faction,"{'Role': 'Member', 'Type': 'Faction Talisman', 'Faction': 'Guardians', 'Dragon ID': '543', 'Issue Date': '2472-01-15'}","[{'value': 'Faction Talisman', 'trait_type': 'Type'}, {'value': 'Guardians', 'trait_type': 'Faction'}, {'value': 'Member', 'trait_type': 'Role'}, {'value': '543', 'trait_type': 'Dragon ID'}, {'value': '2472-01-15', 'trait_type': 'Issue Date'}]",,,,image,,,,,,,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el_3996,False,24.4081599175026
Item,2022-01-15 18:40:50+00:00,2022-01-17 15:32:22+00:00,3995,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el,terra14rhxm5szhwg3rdzq3yc46vpjhqfsfuupn92yfc,False,https://cloudflare-ipfs.com/ipfs/QmXwFGboE6phxumEz9C6Wga618Ca2arNGaoJWY7QNg1wXy,,,Terrans Faction Talisman of the Levana Dragons adventure.,Talisman: Terrans Faction,"{'Role': 'Member', 'Type': 'Faction Talisman', 'Faction': 'Terrans', 'Dragon ID': '682', 'Issue Date': '2472-01-15'}","[{'value': 'Faction Talisman', 'trait_type': 'Type'}, {'value': 'Terrans', 'trait_type': 'Faction'}, {'value': 'Member', 'trait_type': 'Role'}, {'value': '682', 'trait_type': 'Dragon ID'}, {'value': '2472-01-15', 'trait_type': 'Issue Date'}]",,,,image,,,,,,,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el_3995,False,22.06326494819136
Item,2022-01-15 18:31:59+00:00,2022-01-17 15:32:22+00:00,3994,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el,terra14rhxm5szhwg3rdzq3yc46vpjhqfsfuupn92yfc,False,https://cloudflare-ipfs.com/ipfs/QmXwFGboE6phxumEz9C6Wga618Ca2arNGaoJWY7QNg1wXy,,,Terrans Faction Talisman of the Levana Dragons adventure.,Talisman: Terrans Faction,"{'Role': 'Member', 'Type': 'Faction Talisman', 'Faction': 'Terrans', 'Dragon ID': '909', 'Issue Date': '2472-01-15'}","[{'value': 'Faction Talisman', 'trait_type': 'Type'}, {'value': 'Terrans', 'trait_type': 'Faction'}, {'value': 'Member', 'trait_type': 'Role'}, {'value': '909', 'trait_type': 'Dragon ID'}, {'value': '2472-01-15', 'trait_type': 'Issue Date'}]",,,,image,,,,,,,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el_3994,False,22.06326494819136
Item,2022-01-15 18:29:22+00:00,2022-01-17 15:32:22+00:00,3993,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el,terra1s9ck84fn8eunkm8y6u36y0stncl6xh7pkguz63,False,https://cloudflare-ipfs.com/ipfs/QmUsKpTZWvzyNiqomDhhXQ9XtPL8VC437rqFEzY3fzCJMA,,,Council Faction Talisman of the Levana Dragons adventure.,Talisman: Council Faction,"{'Role': 'Member', 'Type': 'Faction Talisman', 'Faction': 'Council', 'Dragon ID': '6330', 'Issue Date': '2472-01-15'}","[{'value': 'Faction Talisman', 'trait_type': 'Type'}, {'value': 'Council', 'trait_type': 'Faction'}, {'value': 'Member', 'trait_type': 'Role'}, {'value': '6330', 'trait_type': 'Dragon ID'}, {'value': '2472-01-15', 'trait_type': 'Issue Date'}]",,,,image,,,,,,,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el_3993,False,25.866432092680085
Item,2022-01-15 18:01:04+00:00,2022-01-17 15:32:22+00:00,3992,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el,terra16uzklnaa4f7y5zvjyuqftkne56rry3zutr58kp,False,https://cloudflare-ipfs.com/ipfs/QmUsKpTZWvzyNiqomDhhXQ9XtPL8VC437rqFEzY3fzCJMA,,,Council Faction Talisman of the Levana Dragons adventure.,Talisman: Council Faction,"{'Role': 'Member', 'Type': 'Faction Talisman', 'Faction': 'Council', 'Dragon ID': '2881', 'Issue Date': '2472-01-15'}","[{'value': 'Faction Talisman', 'trait_type': 'Type'}, {'value': 'Council', 'trait_type': 'Faction'}, {'value': 'Member', 'trait_type': 'Role'}, {'value': '2881', 'trait_type': 'Dragon ID'}, {'value': '2472-01-15', 'trait_type': 'Issue Date'}]",,,,image,,,,,,,terra14gfnxnwl0yz6njzet4n33erq5n70wt79nm24el_3992,False,25.866432092680085
